SEXO; NUM_HIJOS; ANNO_ANTIGUEDAD; SBA_IMPORTE; NUM_CURSOS; EVP_NUM; DESEMPENNO
1;0;41;35000;2;3.95;1
1;0;42;35000;2;3.95;1
1;0;43;35000;2;3.95;1
1;0;44;35000;0;0;0
1;0;45;35000;0;0;1
0;0;41;23000;2;5.2;1
0;0;42;23000;2;3.95;1
0;0;43;23000;2;3.95;1
0;0;44;23000;0;1.25;0
0;0;45;23000;0;0;1
0;0;39;23000;2;5.2;1
0;0;40;23000;2;5.2;1
0;0;41;23000;2;5.2;1
0;0;42;23000;0;1.25;1
0;0;43;23000;0;1.25;0
1;0;39;46000;2;5.2;1
1;0;40;46000;2;3.95;1
1;0;41;46000;2;3.95;1
1;0;42;46000;0;1.25;1
1;0;43;46000;0;0;1
0;0;39;23000;2;5.2;1
0;0;40;23000;2;5.2;1
0;0;41;23000;2;3.95;1
1;1;39;42000;2;7.7;1
1;1;40;42000;2;7.7;1
1;0;41;42000;2;5.2;1
1;0;42;42000;0;1.25;0
1;0;43;42000;1;2.6;1
1;0;39;0;2;2.7;0
1;0;40;40000;2;5.2;1
1;0;41;40000;2;2.7;0
1;0;39;23000;2;5.2;1
1;0;40;23000;2;5.2;1
1;0;41;23000;2;5.2;1
1;0;39;41000;2;5.2;1
1;0;40;41000;2;3.95;1
1;0;41;41000;2;3.95;1
1;0;39;44000;2;2.7;1
1;0;40;44000;2;2.7;0
1;0;41;44000;2;2.7;1
1;0;42;44000;0;0;1
1;0;43;44000;0;0;0
1;1;39;23000;2;7.7;1
1;1;40;23000;2;7.7;1
1;1;41;23000;2;7.7;1
1;0;39;42000;2;5.2;1
1;0;40;42000;2;3.95;1
1;0;41;42000;2;3.95;1
1;0;42;42000;0;1.25;1
1;0;43;42000;0;0;1
0;0;39;23000;2;2.7;1
0;0;40;40000;2;7.5;1
0;0;41;40000;2;5.2;1
0;0;42;40000;0;2.5;1
0;0;43;40000;0;0;1
0;0;39;42000;2;5.2;1
0;0;40;42000;2;3.95;1
0;0;41;42000;2;2.7;1
1;0;39;23000;2;5.2;1
1;0;40;23000;2;5.2;1
1;0;39;40000;2;5.2;1
1;0;40;40000;2;3.95;1
1;0;41;40000;2;3.95;1
1;0;39;44000;2;2.7;1
1;0;40;44000;2;2.7;1
1;0;41;44000;2;2.7;1
0;0;39;23000;2;5.2;1
0;0;40;23000;2;5.2;1
0;0;41;17000;2;5.2;1
0;0;42;17000;0;2.5;1
1;0;39;46000;2;2.7;1
1;0;40;46000;2;2.7;1
1;0;41;42000;2;5.2;1
1;0;42;42000;0;2.5;1
1;0;43;42000;0;2.5;1
0;2;39;23000;2;7.7;1
0;2;40;23000;2;7.7;1
0;2;41;23000;2;7.7;1
1;1;39;46000;2;5.2;1
1;1;40;46000;2;5.2;1
1;1;41;46000;2;5.2;1
1;0;39;40000;2;3.95;1
1;0;40;40000;2;2.7;1
1;0;41;40000;2;2.7;1
1;0;42;40000;0;2.5;1
1;0;43;40000;1;3.85;1
0;0;38;23000;2;5.2;1
0;0;39;23000;2;5.2;1
0;0;40;23000;2;5.2;1
1;1;38;23000;2;5.2;1
1;1;39;23000;2;5.2;1
1;1;40;23000;2;5.2;1
1;0;38;44000;2;3.95;1
1;0;39;44000;2;3.95;1
1;0;40;44000;2;2.7;1
1;0;41;44000;0;0;1
1;0;42;44000;0;0;1
1;1;38;44000;2;7.7;1
1;1;39;44000;2;7.7;1
1;1;40;44000;2;7.7;1
1;1;41;44000;0;3.75;1
1;0;42;44000;0;1.25;1
0;1;38;21000;2;7.7;1
0;1;39;21000;2;6.45;1
0;1;40;21000;2;6.45;1
0;0;41;21000;0;1.25;1
1;0;38;23000;2;2.7;1
1;0;39;23000;2;2.7;0
1;0;40;23000;2;2.7;1
1;0;41;23000;0;0;1
1;0;42;23000;0;0;1
0;0;38;40000;2;3.95;1
0;0;39;40000;2;3.95;1
0;0;40;40000;2;2.7;1
